Sr. No.,SKU Code,Activity Name,Vendor Name,Category,Current Status,Rates,GST,Location,Latitude,Longitute
1,981,Goa - Immersive Coconut Experience,Olegario Nazareth Agri Holdings,LOCAL & HERITAGE,Locked,1313,18.00%,"Mulgaon, Goa",15.584000,73.943000
2,980,North Goa - Urmi Yacht Private Yacht Cruise,Nityay Yachts,SAILING & YACHT,Live,12000,18.00%,MISU Restaurant & Bar,15.493000,73.886000
3,979,North Goa - Nityay Yacht Private Yacht Sailing,Nityay Yachts,SAILING & YACHT,Live,19000,18.00%,MISU Restaurant & Bar,15.493000,73.886000
4,978,North Goa - Ocean Winner Private Yacht Experience,Lovely Water World,SAILING & YACHT,Live,12000,18.00%,"GW46+8Q3 Captain of Ports Jetty, Old Goa., Old Goa, Goa 403402",15.502300,73.911700
5,977,North Goa - 2-Hr Ahilo Private Yacht Charter - 20 PAX,Lyndon Rodrigues,SAILING & YACHT,Live,22000,18.00%,"Captain of Ports Jetty, Old Goa",15.502300,73.911700
6,976,North Goa - 1 Hour Leo Mar Cruise - 100 Pax,Lyndon Rodrigues,SAILING & YACHT,Live,24000,18.00%,"Captain of Ports Jetty, Old Goa",15.502300,73.911700
7,975,North Goa - Majestic 2 Private Yacht Cruising - 12 PAX,Lyndon Rodrigues,SAILING & YACHT,Live,12000,18.00%,"Captain of Ports Jetty, Old Goa",15.502300,73.911700
8,974,North Goa - Prawn Yacht Private Sailing Experience - 6 PAX,Prawn Adventure Cruises,SAILING & YACHT,Live,11500,18.00%,"GVR9+X73 Salvador du Mundu, Goa",15.548000,73.853000
9,973,North Goa - Catch to Curry And Goan Roots Trail - Non-Veg Lunch,Chudamani Baug,FOOD & CULINARY,Live,2599,5.00%,"Madel, Goa 403102",15.526000,73.912000
10,972,North Goa - Catch to Curry And Goan Roots Trail - Veg Lunch,Chudamani Baug,FOOD & CULINARY,Live,2199,5.00%,"Madel, Goa 403102",15.526000,73.912000
11,971,North Goa - Nerul Sunset Boat Ride,Kadambri Jetty,WATER ACTIVITIES,Live,500,18.00%,Kadambari Jetty Goa,15.510000,73.838000
12,970,North Goa - Nerul Backwater Boat Ride,Kadambri Jetty,WATER ACTIVITIES,Live,350,18.00%,Kadambari Jetty Goa,15.510000,73.838000
13,969,North Goa - Fishing Trail - Catch to Curry Experience,Chudamani Baug,FOOD & CULINARY,Live,1999,5.00%,"Madel, Goa 403102",15.526000,73.912000
14,968,North Goa - Goan Roots And Rustic Plates with Non-Veg Lunch,Chudamani Baug,FOOD & CULINARY,Live,1999,5.00%,"Madel, Goa 403102",15.526000,73.912000
15,967,North Goa - Goan Roots And Rustic Plates with Veg Lunch,Chudamani Baug,FOOD & CULINARY,Live,999,5.00%,"Madel, Goa 403102",15.526000,73.912000
16,966,North Goa - Tandem Bungee Jumping at Mayem Lake,JUMPIN ADVENTURE SPORTS INDIA PRIVATE LIMITED,Monsoon Specials,Live,6480,18.00%,Mayem Lake,15.574650,73.940580
17,964,North Goa - Baystar - 120-Min Private Sailing And Anchorage Experience,Sea Stories LLP,SAILING & YACHT,Live,10000,18.00%,Captain of Ports Jetty Panjim,15.500000,73.830000
18,963,North Goa - Azulejo Tile Painting and Pottery Experience Workshops,Ameya V,Signature Activity Combos,Live,4410,5.00%,-,15.600000,73.850000
19,962,North Goa - Baystar 60-Min Private Sailing Experience,Sea Stories LLP,SAILING & YACHT,Live,7000,18.00%,Captain of Ports Jetty Panjim,15.500000,73.830000
20,961,South Goa - Cola Beach Kayaking,Santosh Kayaking Cola Beach,WATER ACTIVITIES,Locked,400,18.00%,"Cola Beach, South Goa",15.036000,74.016000
21,960,South Goa - Heritage AC Coach Tour and Golden Hour Cruise,Ameya V,Signature Activity Combos,Live,800,5.00%,-,15.200000,74.000000
22,959,South Goa - Netravali Wildlife and Tanshikar Spice Farm Day Trip,Ameya V,Signature Activity Combos,Live,2950,5.00%,-,15.200000,74.000000
23,958,North Goa - Double the Adventure - ATV Jungle Ride and White-Water Rafting,Ameya V,Signature Activity Combos,Locked,5800,5.00%,-,15.600000,73.850000
24,957,North Goa - Solaris - 120-Min Private Sailing And Anchorage Experience,UDDESH KARISHETTY,SAILING & YACHT,Live,14000,18.00%,Captain of Ports Jetty Panjim,15.500000,73.830000
25,956,North Goa - Solaris 60-Min Private Sailing Yacht Experience,UDDESH KARISHETTY,SAILING & YACHT,Live,10000,18.00%,Captain of Ports Jetty Panjim,15.500000,73.830000
26,955,North Goa - Shantam Catamaran - 25 Pax,SHANTAM HOLDINGS INDIA PRIVATE LIMITED,SAILING & YACHT,Locked,28000,18.00%,"GR8W+H5, Goa Housing Board, Penha de Franca, Goa 403101",15.532000,73.849000
27,954,North Goa - Funliner Yacht - 12 Pax,SHANTAM HOLDINGS INDIA PRIVATE LIMITED,SAILING & YACHT,Live,15000,18.00%,"Near, Holy Cross-Virlosa, Britona, Goa Housing Board, Penha de Franc, Goa 403101",15.531000,73.850000
28,953,North Goa - Sunset 42 Yacht - 15 Pax,SHANTAM HOLDINGS INDIA PRIVATE LIMITED,SAILING & YACHT,Live,22000,18.00%,"Near, Holy Cross-Virlosa, Britona, Goa Housing Board, Penha de Franc, Goa 403101",15.531000,73.850000
29,952,North Goa - Museum Tour with Workshop and Lunch,MS MOG Museum of Goa,Monsoon Specials,Live,1271,18.00%,"79, Estate, Pilerne Industrial Estates, Pilern, Goa 403511",15.503000,73.809000
30,951,North Goa - Museum Tour with Art Workshop,MS MOG Museum of Goa,MUSEUM & AMUSEMENT PARK,Live,1186,18.00%,"79, Estate, Pilerne Industrial Estates, Pilern, Goa 403512",15.503000,73.809000
31,950,North Goa - Museum Entry with Guided Tour,MS MOG Museum of Goa,MUSEUM & AMUSEMENT PARK,Live,508,18.00%,"79, Estate, Pilerne Industrial Estates, Pilern, Goa 403513",15.503000,73.809000
32,949,North Goa - Sanvordem Waterfall Trek with Goan Lunch,VIJAY BHANU GAWADE,NATURE & WILDLIFE,Locked,1500,5.00%,"Valpoi, North Goa",15.600000,73.850000
33,944,South Goa - JB Dudhsagar Waterfall Trek with Lunch,Passive Active Tourism,Monsoon Specials,Locked,1904,5.00%,"Dudhsagar, Collem, Goa",15.314000,74.314000
34,943,South Goa - Kids Farm ATV Experience,THE ATV CLUB GOA,Monsoon Specials,Locked,593,18.00%,"Near, Church, Bogmalo, Mormugao, Goa 403809",15.395000,73.815000
35,942,South Goa - 300 CC Solo ATV Farm Experience,THE ATV CLUB GOA,Monsoon Specials,Locked,932,18.00%,"Near, Church, Bogmalo, Mormugao, Goa 403809",15.395000,73.815000
36,941,South Goa - 125 CC Solo Farm ATV Experience,THE ATV CLUB GOA,Monsoon Specials,Locked,763,18.00%,"Near, Church, Bogmalo, Mormugao, Goa 403809",15.395000,73.815000
37,940,South Goa - 300 CC Double Seater Farm ATV Experience,THE ATV CLUB GOA,Monsoon Specials,Locked,1356,18.00%,"Near, Church, Bogmalo, Mormugao, Goa 403809",15.395000,73.815000
38,939,North Goa -The Aguad Experience,WATERFRONT EXPERIENCES PRIVATE LIMITED,LOCAL & HERITAGE,Live,1016,18.00%,"Parking, Aguada Fort, Aguada - Siolim Rd, Aguada Fort Area, Candolim, Goa 403515",15.492320,73.773710
39,938,North Goa - The Aguad Trails,WATERFRONT EXPERIENCES PRIVATE LIMITED,LOCAL & HERITAGE,Live,508,18.00%,"Parking, Aguada Fort, Aguada - Siolim Rd, Aguada Fort Area, Candolim, Goa 403515",15.492320,73.773710
40,937,North Goa - Savour Aguad,WATERFRONT EXPERIENCES PRIVATE LIMITED,FOOD & CULINARY,Live,677,18.00%,"Parking, Aguada Fort, Aguada - Siolim Rd, Aguada Fort Area, Candolim, Goa 403515",15.492320,73.773710
41,936,South Goa - Varaak - Forest Bathing and Wild Dining,The Local Beat,NATURE & WILDLIFE,Live,3814,18.00%,"NH 17, Edapally - Panvel Hwy, Chauri, Canacona, Goa 403702",15.009000,74.130600
42,935,South Goa - Kids ATV Adventure Ride,THE ATV CLUB GOA,ADVENTURE & OUTDOOR,Live,593,18.00%,"Near, Church, Bogmalo, Mormugao, Goa 403806",15.395000,73.815000
43,934,South Goa - Single Seater ATV Adventure 300 CC,THE ATV CLUB GOA,ADVENTURE & OUTDOOR,Live,932,18.00%,"Near, Church, Bogmalo, Mormugao, Goa 403807",15.395000,73.815000
44,933,South Goa - Single Seater ATV Adventure 125 CC,THE ATV CLUB GOA,ADVENTURE & OUTDOOR,Live,763,18.00%,"Near, Church, Bogmalo, Mormugao, Goa 403808",15.395000,73.815000
45,932,South Goa - Double Seater ATV Adventure 300 CC,THE ATV CLUB GOA,ADVENTURE & OUTDOOR,Live,1356,18.00%,"Near, Church, Bogmalo, Mormugao, Goa 403809",15.395000,73.815000
46,931,Panjim - Mandovi River Kayaking Adventure - 1.5 Hrs,Konkan Explorers Private Limited,WATER ACTIVITIES,Locked,1714,5.00%,"The Captain's Club, Ribandar, Goa â€“ 403006",15.493000,73.886000
47,930,Panaji - Sunset Cruise Experience,NIKHILS CRUISING,WATER ACTIVITIES,Live,500,18.00%,Captain of Ports Jetty Panjim,15.500000,73.830000
48,929,Panjim - Heritage Mosaic Making Workshop,Azulejos De Goa,LOCAL & HERITAGE,Live,2000,18.00%,"1st floor, 7/2, Dayanand Bandodkar Marg, opp. Captain of Ports Jetty, Altinho, Panaji, Goa 403001",15.500000,73.830000
49,928,South Goa - Dudhsagar Rainforest Glamping And Trek Experience,Passive Active Tourism,ADVENTURE & OUTDOOR,Locked,4760,5.00%,"Dudhsagar, Collem, Goa",15.314000,74.314000
50,927,South Goa - Netravali Wildlife Jeep Safari,GFDC,Monsoon Specials,Live,400,5.00%,Netravali Wildlife Sanctuary Goa,15.180000,74.168000
51,923,South Goa - The Green Goan Village - Day Experience,Passive Active Tourism,LOCAL & HERITAGE,Locked,1904,5.00%,"The Green Goan Village, Marad, Dharbandora, Goa",15.320000,74.110000
52,922,South Goa - Step Back in Time - Eco Village Stay Experience,Passive Active Tourism,LOCAL & HERITAGE,Locked,2380,5.00%,"Marad, Dharbandora, Goa",15.320000,74.110000
53,920,North Goa - Glimpses of India - Cultural Heritage Experience in Goa,Passive Active Tourism,LOCAL & HERITAGE,Locked,504,18.00%,"Ponda, Goa",15.400400,74.011600
54,919,South Goa - Essence of Goa - 2 Nights and 3 Days Eco-Tourism Experience,Passive Active Tourism,LOCAL & HERITAGE,Locked,19043,5.00%,"Ponda, Dharbandora & Collem, Goa",15.320000,74.110000
55,918,South Goa - JB Dudhsagar Rainforest Trek And Glamping Retreat - Overnight Experience,Passive Active Tourism,ADVENTURE & OUTDOOR,Locked,4762,5.00%,"Dudhsagar, Collem, Goa",15.314000,74.314000
56,917,South Goa - JB Dudhsagar Waterfall Trek,Passive Active Tourism,Monsoon Specials,Locked,844,18.00%,"Dudhsagar, Collem, Goa",15.314000,74.314000
57,916,North Goa - Jungle Trail ATV Adventure-Double Rider,Reem Adventures,Monsoon Specials,Live,2372,18.00%,"Reem adventures, opp. Goa Bungy, Latambarcem, Dewoolwada, Vadawal, Mapusa, Kasarpal, Goa 403503",15.566000,74.011000
58,915,North Goa - Jungle Trail ATV Adventure-Single Rider,Reem Adventures,Monsoon Specials,Live,1525,18.00%,"Reem adventures, opp. Goa Bungy, Latambarcem, Dewoolwada, Vadawal, Mapusa, Kasarpal, Goa 403503",15.566000,74.011000
59,914,Baga - Backwater Kayaking And Nature Exploration,Alvira Gonsalves,Monsoon Specials,Locked,400,18.00%,Baga Beach,15.555440,73.751570
60,913,North Goa - Riverside Adventure And Nature Explorer Experience,Eduventures Goa,Monsoon Specials,Locked,2034,18.00%,Sangod Goa,15.383000,74.050000
61,912,North Goa - Handbuilding Clay Art Experience,Dharamkot Studio,Monsoon Specials,Locked,1900,18.00%,"Mandrem, Goa",15.659800,73.710100
62,911,North Goa - Pottery Wheel And Clay Craft Experience,Dharamkot Studio,Monsoon Specials,Live,2200,18.00%,"240/7 Ashvewada, Quarry Road, Mandrem, Goa 403527",15.659800,73.710100
63,910,Chapora - Stand-Up Paddleboarding And Open Water Swim Experience,SVS CHAPORA CRUISE AND KAYAKING,Monsoon Specials,Locked,847,18.00%,"Old Ferry Ramp Jetty, Morjim, Goa",15.642000,73.758000
64,909,South Goa - Jungle Tales Dining And Wildlife Experience,Passive Active Tourism,Monsoon Specials,Live,4762,5.00%,"Waterfalls Rd, Kolem, Goa 403410",15.315000,74.123000
65,908,North Goa - The Local Kitchen by Women - Seasonal Goan Dining Experience,The Local Beat,LOCAL & HERITAGE,Locked,2797,18.00%,"Dicholi, Goa, India",15.593000,73.945000
66,907,South Goa - The Riverboat Picnic Experience,The Local Beat,WATER ACTIVITIES,Locked,5339,18.00%,"Betul River Jetty, South Goa",15.200000,74.000000
67,905,North Goa - Ghogo - Pocket Paradise Waterfall Picnic,The Local Beat,NATURE & WILDLIFE,Locked,2797,18.00%,"Ghogo Waterfall Region, North Goa",15.560000,74.040000
68,904,South Goa - Dhob Dhobo - The Forested Waterfall,The Local Beat,NATURE & WILDLIFE,Live,3814,18.00%,Canacona,15.009000,74.130600
69,903,North Goa - Maddachea Savllent - Tiny Island Picnic Experience,The Local Beat,ADVENTURE & OUTDOOR,Locked,3767,18.00%,"Private Island Location, Goa",15.450000,73.850000
70,902,North Goa - Hanv Saiba Poltode Vetan - Divar Island Riverside Picnic Experience,The Local Beat,ADVENTURE & OUTDOOR,Locked,3500,18.00%,"Divar Island, Goa",15.527000,73.925000
71,901,North Goa - O Pescador - The Island Shack Experience,The Local Beat,ADVENTURE & OUTDOOR,Live,3800,18.00%,"Gandhi Circle Old Goa, Goa 403402",15.502300,73.911700
72,900,North Goa - The Divar Island Picnic - Easy Evening Escape,The Local Beat,ADVENTURE & OUTDOOR,Locked,3500,18.00%,"Divar Island, Goa",15.527000,73.925000
73,899,North Goa - Couples Massage Experience,GoAsian Wellness,WELLNESS & RELAXATION,Live,5000,-,"Deulwada Pernem, Arambol, Goa 403524",15.686800,73.704700
74,898,South Goa - Dudhsagar Falls Monsoon Trek with Nature Guide,Bhagat Nature Guide,Monsoon Specials,Live,1000,18.00%,"Our Lady of Piety Church, Bazar Mol, Colem, Kolem, Goa 403410",15.315000,74.123000
75,897,North Goa - 90 Minute Kayaking and Nature Walk,Konkan Explorers Private Limited,WATER ACTIVITIES,Locked,1429,5.00%,Mayem Lake,15.574650,73.940580
76,896,North Goa - 1 Hour Mayem Lake Kayaking,Konkan Explorers Private Limited,WATER ACTIVITIES,Locked,905,5.00%,Mayem Lake,15.574650,73.940580
77,895,North Goa - 30 Minute Intro to Kayaking,Konkan Explorers Private Limited,WATER ACTIVITIES,Locked,476,5.00%,Mayem Lake,15.574650,73.940580
78,893,Goa - Day Trip - Kumthol Waterfall Trek,VIJAY BHANU GAWADE,Monsoon Specials,Live,1500,18.00%,"Valpoi KTC Bus stop Massorde, Goa 403506",15.533000,74.023000
79,892,Goa - Day Trip - Pali Shivling Waterfall Trekking Experience,VIJAY BHANU GAWADE,Monsoon Specials,Live,1500,18.00%,"Valpoi KTC Bus stop Massorde, Goa 403506",15.533000,74.023000
80,891,Goa - Day Trip to Caranzol Waterfall,VIJAY BHANU GAWADE,Monsoon Specials,Locked,1500,18.00%,"Valpoi, North Goa",15.600000,73.850000
81,890,North Goa - Premium Goa Heritage Tour Churches Temples And Spice Plantation,Exotic Goan Excursions,LOCAL & HERITAGE,Live,3250,18.00%,"Old Patto Bridge, Fontainhas (quarter), Patto Colony, Panaji, Goa 403001",15.493000,73.835000
82,887,Panjim - A Nostalgic Evening Walk Through Fontainhas with Wine Tasting,Exotic Goan Excursions,LOCAL & HERITAGE,Live,1560,18.00%,"Old Patto Bridge, Fontainhas (quarter), Patto Colony, Panaji, Goa 403002",15.493000,73.835000
83,886,Panjim - Fontainhas Heritage Walk with High Tea,Exotic Goan Excursions,LOCAL & HERITAGE,Live,1380,18.00%,"Old Patto Bridge, Fontainhas (quarter), Patto Colony, Panaji, Goa 403003",15.493000,73.835000
84,885,North Goa - Heritage Walk Of The Former Capital - Old Goa,Exotic Goan Excursions,LOCAL & HERITAGE,Live,1380,18.00%,Meet your guide outside Ratnasagar Restaurant at Old Goa Junction,15.502300,73.911700
85,884,Panjim - Explore The Hidden Gems Of The Colonial Quarter - Fontainhas,Exotic Goan Excursions,LOCAL & HERITAGE,Live,900,18.00%,"Old Patto Bridge, Fontainhas (quarter), Patto Colony, Panaji, Goa 403001",15.493000,73.835000
86,883,North Goa - Shirodhara Experience - 120 Minutes,GoAsian Wellness,WELLNESS & RELAXATION,Live,6000,-,"Deulwada Pernem, Arambol, Goa 403524",15.686800,73.704700
87,882,North Goa - Potli Massage Experience,GoAsian Wellness,WELLNESS & RELAXATION,Live,5000,-,"Deulwada Pernem, Arambol, Goa 403525",15.686800,73.704700
88,881,North Goa - Kerala Ayurveda Massage Rituals - 90 Minutes,GoAsian Wellness,WELLNESS & RELAXATION,Live,3300,-,"Deulwada Pernem, Arambol, Goa 403526",15.686800,73.704700
89,880,North Goa - Kerala Ayurveda Massage Rituals - 60 Minutes,GoAsian Wellness,WELLNESS & RELAXATION,Live,2500,-,"Deulwada Pernem, Arambol, Goa 403527",15.686800,73.704700
90,879,South Goa - The Jungle Book Dining Experience,Passive Active Tourism,NATURE & WILDLIFE,Live,4762,5.00%,"Waterfalls Rd, Kolem, Goa 403410",15.315000,74.123000
91,878,North Goa - Express Wellness Experience,Kaizen Wellness,WELLNESS & RELAXATION,Live,6000,18.00%,"Unit No. G1, Ground Floor, Magsons Towers, 707, Dayanand Bandodkar Marg, Miramar, Panaji, Goa 403001",15.477000,73.810000
92,877,North Goa - Sound Healing Experience,Kaizen Wellness,WELLNESS & RELAXATION,Live,4000,18.00%,"Unit No. G1, Ground Floor, Magsons Towers, 707, Dayanand Bandodkar Marg, Miramar, Panaji, Goa 403001",15.477000,73.810000
93,876,North Goa - Ice Bath - A Cold Plunge Experience,Kaizen Wellness,WELLNESS & RELAXATION,Live,4000,18.00%,"Unit No. G1, Ground Floor, Magsons Towers, 707, Dayanand Bandodkar Marg, Miramar, Panaji, Goa 403001",15.477000,73.810000
94,875,North Goa : Sculpt And Shape - Handbuilding Clay,Dharamkot Studio,LOCAL & HERITAGE,Live,1900,18.00%,"240/7 Ashvewada, Quarry Road, Mandrem, Goa 403527",15.659800,73.710100
95,863,North Goa - Goan Tea Sundowner on the Island,Kamaxi C Cruise,WATER ACTIVITIES,Locked,750,18.00%,"Sateri Temple Road, Rautwada, Agarvada, Goa 403512",15.630000,73.750000
96,862,North Goa - Sundowner Barbeque on the Island,Kamaxi C Cruise,WATER ACTIVITIES,Locked,1250,18.00%,"Sateri Temple Road, Rautwada, Agarvada, Goa 403512",15.630000,73.750000
97,861,North Goa - Romantic Sundowner for Couples on the Island,Kamaxi C Cruise,WATER ACTIVITIES,Locked,1000,18.00%,"Sateri Temple Road, Rautwada, Agarvada, Goa 403512",15.630000,73.750000
98,860,South Goa - Curdi Underwater Village Experience,TREK ME GOA,ADVENTURE & OUTDOOR,Locked,1000,18.00%,"Sanscar Society, Mulgaon, South Goa",15.200000,74.000000
99,859,North Goa - Farm 33 Water Park Experience with Non Veg Lunch,Farm Thirty Three,MUSEUM & AMUSEMENT PARK,Live,1299,18.00%,"farm 33,Siddheshwar temple, Madhlawada, Sal, Bicholim, Goa 403503",15.593000,73.945000
100,858,North Goa - Farm 33 Water Park Experience with Vegetarian Lunch,Farm Thirty Three,MUSEUM & AMUSEMENT PARK,Live,1199,18.00%,"farm 33,Siddheshwar temple, Madhlawada, Sal, Bicholim, Goa 403503",15.593000,73.945000
101,849,South Goa - Royal Vintage Pre/Post Wedding Shoot Experience,TREK ME GOA,ADVENTURE & OUTDOOR,Live,36000,18.00%,"Thivim,cuncolim,velsao,sanguem",15.175000,73.996000
102,848,Panjim - Azulejos Tile Workshop - 2 Tiles,Azulejos De Goa,LOCAL & HERITAGE,Live,3000,18.00%,"opp. Captain of Ports Jetty, Altinho, Panaji, Goa 403001",15.500000,73.830000
103,847,Panjim - Azulejos Tile Workshop - 1 Tile,Azulejos De Goa,LOCAL & HERITAGE,Live,2000,18.00%,"opp. Captain of Ports Jetty, Altinho, Panaji, Goa 403002",15.500000,73.830000
104,846,South Goa- Iconic Cabo De Rama Fort Cruising - 6 pax,PRINCE OF SAL,SAILING & YACHT,Locked,5400,18.00%,"Near Fishermans Wharf At the Riverside, Mobor, 403723",15.173000,73.946000
105,845,South Goa- Sunset Cruise - 8 pax,PRINCE OF SAL,SAILING & YACHT,Locked,9600,18.00%,"Near Fishermans Wharf At the Riverside, Mobor, 403723",15.173000,73.946000
106,844,South Goa - Seaduction 335 Yacht - 1 Hour Sailing Experience,PRINCE OF SAL,SAILING & YACHT,Live,18000,18.00%,"Near Fishermans Wharf At the Riverside, Mobor, 403723",15.173000,73.946000
107,843,South Goa - Cabo De Rama Fort Cruise,PRINCE OF SAL,SAILING & YACHT,Locked,6000,18.00%,"Near Fishermans Wharf At the Riverside, Mobor, 403723",15.173000,73.946000
108,842,South Goa - Speed Boat Dolphin Ride - 8 PAX,PRINCE OF SAL,WATER ACTIVITIES,Locked,5760,18.00%,"Near Fishermans Wharf At the Riverside, Mobor, 403723",15.173000,73.946000
109,841,South Goa - Speed Boat Dolphin Ride - 6 PAX,PRINCE OF SAL,WATER ACTIVITIES,Locked,4800,18.00%,"Near Fishermans Wharf At the Riverside, Mobor, 403723",15.173000,73.946000
110,840,South Goa - Sunset Speed Boat Ride - 8 PAX,PRINCE OF SAL,WATER ACTIVITIES,Locked,5400,18.00%,"Near Fishermans Wharf At the Riverside, Mobor, 403723",15.173000,73.946000
111,839,South Goa - Sunset Speed Boat Ride - 6 PAX,PRINCE OF SAL,WATER ACTIVITIES,Locked,5400,18.00%,"Near Fishermans Wharf At the Riverside, Mobor, 403723",15.173000,73.946000
112,833,Fados em Goa at Mesa Dulcina,Silva Heritage,LOCAL & HERITAGE,Locked,1500,18.00%,"House No, 42 & 43, Cana Benaulim Football Ground, Kana, Benaulim, Goa 403708",15.264000,73.923000
113,766,North Goa : One-Day Surfing Lesson for Students,Swell Cats Surf Club,WATER ACTIVITIES,Locked,2430,18.00%,Ashvem Beach,15.659000,73.713500
114,765,North Goa : Rinker Yacht 2-Hour Cruising Experience (7 Pax),Bismarck Stallone Messias,SAILING & YACHT,Locked,2000,18.00%,"GR8W+H5, Goa Housing Board, Penha de Franca, Goa - 403101",15.532000,73.849000
115,764,North Goa : Rinker Yacht 2-Hour Experience (7 Pax),Bismarck Stallone Messias,SAILING & YACHT,Locked,2000,18.00%,"GR8W+H5, Goa Housing Board, Penha de Franca, Goa - 403101",15.532000,73.849000
116,763,North Goa : 1 Hour Rinker Yacht Experience (7 Pax),Bismarck Stallone Messias,SAILING & YACHT,Locked,1000,18.00%,"GR8W+H5, Goa Housing Board, Penha de Franca, Goa - 403101",15.532000,73.849000
117,761,North Goa : Solita Private Charter,Aquatic Sports Pvt Ltd,SAILING & YACHT,Locked,60000,18.00%,captain of ports jetty panjim,15.500000,73.830000
118,760,North Goa : Heritage Cruise from Aguad,Aquatic Sports Pvt Ltd,SAILING & YACHT,Locked,2000,18.00%,Aguad Port & Jail Complex,15.492300,73.773700
119,758,South Goa : Seawalk Experience,Aquatic Sports Pvt Ltd,ADVENTURE & OUTDOOR,Locked,6000,18.00%,off Bat Island,15.500000,73.800000
120,756,South Goa : Crocodile Mangrove Discovery,Aquatic Sports Pvt Ltd,NATURE & WILDLIFE,Locked,3000,18.00%,"Cortalim Jetty, under the Zuari Bridge",15.416000,73.892000
121,755,North Goa : Crocodile Mangrove Discovery,Aquatic Sports Pvt Ltd,NATURE & WILDLIFE,Locked,3000,18.00%,"Captain of Ports Jetty, Old Goa",15.502300,73.911700
122,749,North Goa : Majestic 2 Yacht - Private Yacht Cruise (10 Pax),Cajetan Cardoz,SAILING & YACHT,Locked,2000,18.00%,"Shripad Naik Jetty, National Highway, near St Anthony Chapel, 4A, Panvelim, Goa 403402",15.503000,73.910000
123,748,North Goa - Clay Circle - Explore Clay and Art,Dharamkot Studio,LOCAL & HERITAGE,Locked,550,18.00%,"Mandrem, Goa",15.659800,73.710100
124,747,North Goa - Pottery Wheel Experience,Dharamkot Studio,LOCAL & HERITAGE,Live,2200,18.00%,"240/7 Ashvewada, Quarry Road, Mandrem, Goa 403527",15.659800,73.710100
125,746,South Goa : Ride & Dive - Swimming with Horses,Agonda Adventure,ADVENTURE & OUTDOOR,Locked,2750,18.00%,Agonda,15.031000,74.001000
126,745,South Goa : Horse-riding Tour in the Jungle,Agonda Adventure,ADVENTURE & OUTDOOR,Locked,4400,18.00%,Agonda,15.031000,74.001000
127,744,South Goa : Horse Riding at Agonda Beach (1 Hr),Agonda Adventure,ADVENTURE & OUTDOOR,Locked,3850,18.00%,Agonda Beach,15.031000,74.001000
128,743,South Goa : Agonda Beach Horse Ride (30 Min),Agonda Adventure,ADVENTURE & OUTDOOR,Locked,2200,18.00%,Agonda Beach,15.031000,74.001000
129,742,Bambolim - 2-Day Certified Dinghy Sailing Course for Kids - Laser Pico,AQUASAIL DISTRIBITION COMPANY PRIVATE LIMITED,SAILING & YACHT,Locked,14760,18.00%,"Bambolim, Goa",15.447000,73.858000
130,741,Bambolim - 2-Day Certified Windsurfing Course,AQUASAIL DISTRIBITION COMPANY PRIVATE LIMITED,WATER ACTIVITIES,Locked,14760,18.00%,"Bambolim, Goa",15.447000,73.858000
131,740,Bambolim - 2-Day Certified Dinghy Sailing Course for Adults - Laser Bahia,AQUASAIL DISTRIBITION COMPANY PRIVATE LIMITED,SAILING & YACHT,Locked,20664,18.00%,"Bambolim, Goa",15.447000,73.858000
132,739,Golden Anchor - Full Day Unlimited Sail,AQUASAIL DISTRIBITION COMPANY PRIVATE LIMITED,SAILING & YACHT,Locked,6380,18.00%,"Bambolim, Goa",15.447000,73.858000
133,738,Sailing at Bambolim - One Boat Experience 45 Minutes,AQUASAIL DISTRIBITION COMPANY PRIVATE LIMITED,SAILING & YACHT,Locked,2091,18.00%,"Bambolim, Goa",15.447000,73.858000
134,737,Sailing at Bambolim - Three Boat Experience,AQUASAIL DISTRIBITION COMPANY PRIVATE LIMITED,SAILING & YACHT,Locked,2509,18.00%,"Bambolim, Goa",15.447000,73.858000
135,736,Sea Kayaking at Bambolim,AQUASAIL DISTRIBITION COMPANY PRIVATE LIMITED,WATER ACTIVITIES,Locked,1394,18.00%,Bambolim Beach,15.437000,73.846000
136,735,North Goa - Lovely Sheron Yacht 2.5 Hours,Lovely Water World,SAILING & YACHT,Live,28000,18.00%,"GW46+8Q3 Captain of Ports Jetty, Old Goa., Old Goa, Goa 403403",15.502300,73.911700
137,733,North Goa : Sunset - Dolphin Spotting at Coco Beach,Diptesh Kalangutkar,NATURE & WILDLIFE,Locked,333,18.00%,"Coco Beach, Nerul, Goa",15.520000,73.789000
138,732,North Goa : Sunrise - Dolphin Spotting at Coco Beach,Diptesh Kalangutkar,NATURE & WILDLIFE,Locked,333,18.00%,"Coco Beach, Nerul, Goa",15.520000,73.789000
139,731,North Goa : Sea Horse Yacht (Off-Peak Hours) (13 Pax),Lovely Water World,SAILING & YACHT,Locked,6000,18.00%,"Captain of Ports Jetty, Old Goa",15.502300,73.911700
140,730,North Goa - Sea Horse Yacht - Peak Hours - 13 Pax,Lovely Water World,SAILING & YACHT,Live,12499,18.00%,"GW46+8Q3 Captain of Ports Jetty, Old Goa., Old Goa, Goa 403404",15.502300,73.911700
141,729,North Goa - Dolphin Spotting at Coco Beach,Diptesh Kalangutkar,NATURE & WILDLIFE,Locked,500,18.00%,"Coco Beach, Nerul, Goa",15.520000,73.789000
