Sr. No.,SKU Code,Activity Name,Vendor Name,Category,Current Status,Rates,GST,Location,Latitude,Longitute
327,412,Goa - Photography Tour,Yawning Shots,LOCAL & HERITAGE,Live,4000,18.00%,colvale,15.638000,73.844000
328,407,Personalized Surf Lessons,Swell Cats Surf Club,WATER ACTIVITIES,Locked,3000,18.00%,Mandrem,15.659800,73.710100
329,401,Revora Tour,TREK ME GOA,NATURE & WILDLIFE,Locked,500,18.00%,"Sanscar Society, Madgaon, Goa 403707",15.283200,73.986200
330,400,Goa : White Water Rafting Adventures,Southern River Adventures and sports private ltd,Monsoon Specials,Locked,1695,18.00%,"Nagargaon Rd, Valpoy, Ambede, Goa 403506",15.533000,74.023000
331,398,Goa - Natural Riverside Adventure,Eduventures Goa,NATURE & WILDLIFE,Live,7500,18.00%,"958F+55F, NH748, Sangod, Goa 403406, India",15.383000,74.050000
332,397,Forest Camping by the Riverside,Eduventures Goa,NATURE & WILDLIFE,Locked,,,Dhudsagar Riverside Sangod Village,15.380000,74.050000
333,396,South Goa - Pottery Workshop,Mud Dauber Goa,LOCAL & HERITAGE,Live,1000,18.00%,"House No. 355, Muthal, Sadolxem, Canacona, Poingunin, Goa 403702",15.009000,74.130600
334,395,Arambol - Cable Wakeboarding in Goa,Rajlaxmi Water Sports Private Limited,ADVENTURE & OUTDOOR,Live,3250,18.00%,"wake park Om lake resort, 101, near fish Market, next to bridge, Arambol, Goa 403524",15.686800,73.704700
335,394,Goan Cultural Experience,SILVA HERITAGE,LOCAL & HERITAGE,Locked,4661,18.00%,Benaulim,15.264000,73.923000
336,393,South Goa - Goan Culinary Experience,SILVA HERITAGE,FOOD & CULINARY,Live,4237,18.00%,"House No, 42 & 43, Cana Benaulim Football Ground, Kana, Benaulim, Goa 403708",15.264000,73.923000
337,392,South Goa - Goan Lunch Experience,SILVA HERITAGE,FOOD & CULINARY,Live,1695,18.00%,"House No, 42 & 43, Cana Benaulim Football Ground, Kana, Benaulim, Goa 403709",15.264000,73.923000
338,391,South Goa : RED LINE,PRIVE TOURISM PRIVATE LIMITED,LOCAL & HERITAGE,Locked,570,5.00%,South Goa,15.200000,74.000000
339,386,North Goa - Museum of Goa with Entry,MS MOG Museum of Goa,MUSEUM & AMUSEMENT PARK,Live,254,18.00%,"Museum of Goa,79, Estate, Pilerne Industrial Estates, Pilern, Goa 403511",15.504000,73.810000
340,379,North Goa - 21-Day Yoga TTC for Partners 200 Hrs - Twin Room,SHIVA YOGA,WELLNESS & RELAXATION,Locked,70000,18.00%,Arambol,15.686800,73.704700
341,378,North Goa - 11-Day Yoga TTC 100 Hrs - Twin Sharing,SHIVA YOGA,WELLNESS & RELAXATION,Locked,55000,18.00%,Arambol,15.686800,73.704700
342,377,North Goa : 30-Day Yoga TTC Course for Partners (300 Hrs) – Twin Sharing,SHIVA YOGA,WELLNESS & RELAXATION,Locked,80000,18.00%,Arambol,15.686800,73.704700
343,376,North Goa - 30-Day Yoga TTC Course 300 Hrs - Dorm Room,SHIVA YOGA,WELLNESS & RELAXATION,Locked,75000,18.00%,Arambol,15.686800,73.704700
344,375,North Goa - 11-Day Yoga TTC 100 Hrs - Dorm Room,SHIVA YOGA,WELLNESS & RELAXATION,Locked,45000,18.00%,Arambol,15.686800,73.704700
345,374,North Goa - 21-Day Yoga TTC 200 Hrs - Dorm Room,SHIVA YOGA,WELLNESS & RELAXATION,Locked,65000,18.00%,Arambol,15.686800,73.704700
346,373,YTTC 300 Hr with Private Room,SHIVA YOGA,WELLNESS & RELAXATION,Locked,80000,18.00%,Arambol,15.686800,73.704700
347,372,North Goa : Yoga Retreat 11 days,SHIVA YOGA,WELLNESS & RELAXATION,Locked,55000,18.00%,Arambol,15.686800,73.704700
348,371,North Goa - Yoga TTC Course 200 Hrs - Private Room,SHIVA YOGA,WELLNESS & RELAXATION,Locked,70000,18.00%,Arambol,15.686800,73.704700
349,369,North Goa - Night Camping and Safari at Cuntol,VIJAY BHANU GAWADE,NATURE & WILDLIFE,Locked,2700,18.00%,Valpoi,15.533000,74.023000
350,368,North Goa - Trek and Camping at Cuntol,VIJAY BHANU GAWADE,NATURE & WILDLIFE,Locked,2700,18.00%,Valpoi,15.533000,74.023000
351,367,North Goa - Night Camping at Cuntol,VIJAY BHANU GAWADE,NATURE & WILDLIFE,Locked,2000,18.00%,Valpoi,15.533000,74.023000
352,366,Goa : Tulaskond Waterfall and Swimming,VIJAY BHANU GAWADE,ADVENTURE & OUTDOOR,Locked,1330,18.00%,Valpoi,15.533000,74.023000
353,365,North Goa : Trekking to Tonir Waterfall,VIJAY BHANU GAWADE,Monsoon Specials,Locked,1500,18.00%,Valpoi,15.533000,74.023000
354,364,Goa - Tinto Expression Tavern,MS ADINCO,FOOD & CULINARY,Locked,1000,18.00%,Quepem,15.212800,74.077200
355,362,Goa : Orca Yacht (16 Pax),SHANTAM HOLDINGS INDIA PRIVATE LIMITED,SAILING & YACHT,Live,17000,18.00%,"Near, Holy Cross-Virlosa, Britona, Goa Housing Board, Penha de Franc, Goa 403101",15.531000,73.850000
356,361,Goa : Polaris Yacht (18 Pax),SHANTAM HOLDINGS INDIA PRIVATE LIMITED,SAILING & YACHT,Live,30000,18.00%,"Near, Holy Cross-Virlosa, Britona, Goa Housing Board, Penha de Franc, Goa 403101",15.531000,73.850000
357,360,Goa : Blue Fin Yacht (6 Pax),SHANTAM HOLDINGS INDIA PRIVATE LIMITED,SAILING & YACHT,Live,11000,18.00%,"Near, Holy Cross-Virlosa, Britona, Goa Housing Board, Penha de Franc, Goa 403101",15.531000,73.850000
358,359,Panjim : Manta Ray (8 Pax),SHANTAM HOLDINGS INDIA PRIVATE LIMITED,SAILING & YACHT,Live,12500,18.00%,"Near, Holy Cross-Virlosa, Britona, Goa Housing Board, Penha de Franc, Goa 403101",15.531000,73.850000
359,358,North Goa : Kayaking at Bambolim,AQUASAIL DISTRIBITION COMPANY PRIVATE LIMITED,WATER ACTIVITIES,Locked,,,Bambolim Beach near Grand Hyatt,15.437000,73.846000
360,357,North Goa : Sailing at Bambolim (Min 2 People),AQUASAIL DISTRIBITION COMPANY PRIVATE LIMITED,SAILING & YACHT,Locked,,,Bambolim Beach near Grand Hyatt,15.437000,73.846000
361,356,North Goa : Sailing at Bambolim (Min 1 Person),AQUASAIL DISTRIBITION COMPANY PRIVATE LIMITED,SAILING & YACHT,Locked,,,Bambolim Beach near Grand Hyatt,15.437000,73.846000
362,355,North Goa - Aguad Port And Jail Complex,WATERFRONT EXPERIENCES PRIVATE LIMITED,MUSEUM & AMUSEMENT PARK,Live,300,18.00%,"Fort Aguada Rd, Aguada Fort Area, Candolim, Goa 403515",15.492320,73.773710
363,354,Marine Wildlife Boat Trip,TELLIS TRAVEL EXPERIENCES OPC PVT LTD,WATER ACTIVITIES,Locked,,,Panjim,15.490900,73.827800
364,353,Goa - Marine Life Shore Walk,TELLIS TRAVEL EXPERIENCES OPC PVT LTD,NATURE & WILDLIFE,Live,3500,18.00%,"(Benaulim Beach, Agonda Beach, Anjuna Beach, Bambolim Beach, Hollant Beach",15.437000,73.846000
365,352,North Goa : Sailboat Ride (Private Trip),TELLIS TRAVEL EXPERIENCES OPC PVT LTD,WATER ACTIVITIES,Locked,,,Porvorim,15.538000,73.829000
366,351,Panjim : Dinner Cruises,TELLIS TRAVEL EXPERIENCES OPC PVT LTD,WATER ACTIVITIES,Locked,1300,18.00%,Panaji - Mandovi River,15.500000,73.820000
367,350,Panjim : Sunset Cruises,TELLIS TRAVEL EXPERIENCES OPC PVT LTD,WATER ACTIVITIES,Locked,425,18.00%,Panaji - Mandovi River,15.500000,73.820000
368,349,South Goa : Sea Kayaking,TELLIS TRAVEL EXPERIENCES OPC PVT LTD,WATER ACTIVITIES,Locked,,,Hollant beach,15.377000,73.849000
369,348,North Goa - Backwater Kayaking,TELLIS TRAVEL EXPERIENCES OPC PVT LTD,WATER ACTIVITIES,Locked,1600,18.00%,Colvale on Chapora river,15.640000,73.750000
370,347,Panjim : Private Yacht Charter,TELLIS TRAVEL EXPERIENCES OPC PVT LTD,SAILING & YACHT,Locked,15500,18.00%,Mandovi Backwaters,15.510000,73.850000
371,346,Mangrove Boat Ride,TELLIS TRAVEL EXPERIENCES OPC PVT LTD,WATER ACTIVITIES,Locked,5000,18.00%,Mandovi River,15.500000,73.820000
372,345,North Goa : SSI Snorkeling,TELLIS TRAVEL EXPERIENCES OPC PVT LTD,WATER ACTIVITIES,Locked,,,Grande Island,15.372000,73.790000
373,344,North Goa : SSI Scuba Diving,TELLIS TRAVEL EXPERIENCES OPC PVT LTD,WATER ACTIVITIES,Locked,,,North Goa,15.600000,73.850000
